ID,Colony,Treatment,Trial,Success,Ball type,solving time,smartness
45,8,3,8,0,,,0.25
45,8,3,9,1,1,115,0.25
45,8,3,10,0,,,0.25
133,9,3,1,1,3,43,0.9
133,9,3,2,0,,,0.9
133,9,3,3,1,2,33,0.9
133,9,3,4,1,1,13,0.9
133,9,3,5,1,2,202,0.9
133,9,3,6,1,3,29,0.9
133,9,3,7,1,2,158,0.9
133,9,3,8,0,,,0.9
133,9,3,9,1,1,206,0.9
133,9,3,10,0,,,0.9
133,9,3,11,0,,,0.9
37,9,3,1,1,1,43,0.9
37,9,3,2,1,2,7,0.9
37,9,3,3,0,,,0.9
37,9,3,4,0,,,0.9
37,9,3,5,0,,,0.9
37,9,3,6,0,,,0.9
37,9,3,7,0,,,0.9
37,9,3,8,0,,,0.9
37,9,3,9,0,,,0.9
37,9,3,10,0,,,0.9
88,9,3,1,1,1,217,0.9
88,9,3,2,1,1,13,0.9
88,9,3,3,1,1,12,0.9
88,9,3,4,1,1,50,0.9
88,9,3,5,1,1,151,0.9
88,9,3,6,0,,,0.9
88,9,3,7,0,,,0.9
88,9,3,8,0,,,0.9
88,9,3,9,0,,,0.9
88,9,3,10,0,,,0.9
88,9,3,11,0,,,0.9
